epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,1997.04,1.14465,0.67563,1.19879,0.92901,0.92624,0.95496,0.61046,1.36962,0.62696,1.4004,0.0083962,0.0083962,0.0083962
83,2026,1.13577,0.66814,1.19429,0.94909,0.91204,0.95201,0.60728,1.36662,0.65232,1.41363,0.0083764,0.0083764,0.0083764
84,2055.08,1.13362,0.66396,1.19831,0.9426,0.9154,0.94573,0.60259,1.3622,0.64703,1.40955,0.0083566,0.0083566,0.0083566
85,2084.02,1.13078,0.66047,1.19008,0.92355,0.91643,0.95093,0.60992,1.3778,0.66323,1.43636,0.0083368,0.0083368,0.0083368
86,2113.09,1.12209,0.65423,1.18573,0.92925,0.90593,0.95462,0.6113,1.36049,0.64456,1.40271,0.008317,0.008317,0.008317
87,2142.23,1.12661,0.66482,1.19071,0.94475,0.90277,0.95098,0.6075,1.38309,0.64743,1.42949,0.0082972,0.0082972,0.0082972
88,2171.59,1.12831,0.67062,1.18796,0.93747,0.91451,0.95023,0.59291,1.4079,0.65116,1.41572,0.0082774,0.0082774,0.0082774
89,2200.78,1.13741,0.65588,1.19054,0.93586,0.90705,0.95542,0.61537,1.37699,0.63381,1.42682,0.0082576,0.0082576,0.0082576
90,2229.69,1.11198,0.64082,1.18165,0.95576,0.90434,0.96149,0.61675,1.3738,0.63676,1.41183,0.0082378,0.0082378,0.0082378
91,2258.85,1.10834,0.64433,1.17689,0.94983,0.91316,0.9593,0.61801,1.38422,0.61483,1.42285,0.008218,0.008218,0.008218
92,2288.06,1.10367,0.64982,1.17431,0.96019,0.89975,0.96008,0.60354,1.37908,0.62906,1.43408,0.0081982,0.0081982,0.0081982
93,2317.13,1.09635,0.64023,1.16859,0.95338,0.90969,0.9551,0.60336,1.40168,0.63118,1.43384,0.0081784,0.0081784,0.0081784
94,2346.37,1.10541,0.6449,1.1693,0.93853,0.90661,0.96182,0.62126,1.3603,0.6055,1.41532,0.0081586,0.0081586,0.0081586
95,2375.37,1.09983,0.64603,1.17462,0.93035,0.93147,0.96252,0.61594,1.38856,0.6185,1.44656,0.0081388,0.0081388,0.0081388
96,2404.46,1.09487,0.62832,1.16385,0.93612,0.91137,0.94938,0.61076,1.38344,0.63472,1.43503,0.008119,0.008119,0.008119
97,2433.54,1.09604,0.63192,1.17852,0.94311,0.91904,0.95917,0.61339,1.38874,0.62489,1.42037,0.0080992,0.0080992,0.0080992
98,2462.48,1.0823,0.63448,1.16939,0.93714,0.92024,0.95324,0.5938,1.39465,0.63897,1.45008,0.0080794,0.0080794,0.0080794
99,2491.4,1.08256,0.62716,1.16353,0.95163,0.92509,0.9608,0.6186,1.37268,0.60636,1.40872,0.0080596,0.0080596,0.0080596
100,2520.37,1.07832,0.6221,1.15395,0.92943,0.91853,0.95752,0.61428,1.37762,0.62046,1.42339,0.0080398,0.0080398,0.0080398
101,2549.24,1.07446,0.62095,1.15586,0.93463,0.91627,0.95874,0.61291,1.37377,0.61343,1.43049,0.00802,0.00802,0.00802
102,2578.05,1.06304,0.62058,1.15791,0.94428,0.91945,0.95917,0.60571,1.38546,0.61574,1.44625,0.0080002,0.0080002,0.0080002
103,2606.76,1.07503,0.62137,1.15707,0.9452,0.90708,0.9532,0.61291,1.37249,0.62399,1.40466,0.0079804,0.0079804,0.0079804
104,2635.76,1.06613,0.61708,1.15588,0.93879,0.91225,0.95411,0.61654,1.38226,0.62316,1.4301,0.0079606,0.0079606,0.0079606
